# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
yi jing gou duo le 	已經夠多了	c=1 d=0.289384 t=31290
yi jing hua le lia yue 	已經花了倆月	c=1 d=0.40657 t=31290
yi jing kai shi le 	已經開始了	c=1 d=1 t=28927
yi jing ke yi 	已經可以	c=1 d=0.0119742 t=31290
yi jing luo zuo le 	已經落座了	c=1 d=0.00388746 t=31290
yi jing mei you 	已經沒有	c=3 d=0.381006 t=31290
yi jing qian le 	已經簽了	c=1 d=0.0682212 t=31290
yi jing qu qian le 	已經去簽了	c=1 d=0.00937227 t=31290
yi jing shang xian 	已經上線	c=1 d=0.210136 t=31290
yi jing shen he 	已經審覈	c=1 d=5.96668e-14 t=31290
yi jing shi yong le 	已經使用了	c=1 d=0.0156858 t=31290
yi jing shou gou le 	已經受夠了	c=1 d=0.0569833 t=31290
yi jing shuo le 	已經說了	c=1 d=0.289384 t=31290
yi jing shuo wan le 	已經說完了	c=1 d=0.105399 t=31290
yi jing tan hao le 	已經談好了	c=1 d=0.790571 t=31290
yi jing xia xia lai le 	已經下下來了	c=1 d=0.0140519 t=31290
yi jing you 	已經有	c=1 d=0.373439 t=31290
yi jing zai 	已經在	c=1 d=0.275271 t=31290
yi jiu 	依舊	c=3 d=0.0232837 t=31290
yi ju 	一句	c=1 d=0.0960789 t=31290
yi ju 	依據	c=3 d=0.0141223 t=31290
yi ju hua 	一句話	c=1 d=0.802519 t=31290
yi kai qi 	已開啓	c=1 d=0.509156 t=31290
yi kai shi 	一開始	c=2 d=0.337902 t=31290
yi kan dao 	一看到	c=0 d=0.000102814 t=31290
yi ke 	一刻	c=1 d=0.442639 t=31290
yi kuai 	一塊	c=4 d=1.07076 t=31290
yi kuai ping mu 	一塊屏幕	c=1 d=0.814647 t=31290
yi kuan 	一款	c=1 d=0.00375828 t=31290
yi lai 	以來	c=1 d=0.0845849 t=31290
yi lai 	依賴	c=2 d=0.301194 t=31290
yi lai wen jian 	依賴文件	c=1 d=0.00744658 t=31290
yi lai yu 	依賴於	c=1 d=0.000794669 t=31290
yi lan 	一欄	c=1 d=0.103312 t=31290
yi lian 	一臉	c=0 d=0.00194482 t=31290
yi lian 	頤蓮	c=3 d=0.00280185 t=31290
yi lian meng bi 	一臉懵逼	c=1 d=0.0195457 t=31290
yi liang 	一兩	c=0 d=0.050409 t=31290
yi liang 	一輛	c=1 d=0.00670434 t=31290
yi liang ge 	一兩個	c=1 d=0.506617 t=31290
yi lou 	一樓	c=1 d=0.509156 t=31290
yi lun 	一輪	c=1 d=0.00729913 t=31290
yi ming 	一名	c=0 d=0.000135358 t=31290
yi nei 	以內	c=2 d=0.0231787 t=31290
yi nian 	一年	c=7 d=0.504609 t=31290
yi pai 	一排	c=1 d=0.431711 t=31290
yi pai pai 	一排排	c=1 d=0.0434998 t=31290
yi pi 	一批	c=1 d=0.739955 t=31290
yi pian 	一片	c=0 d=0.0604617 t=31290
yi pian 	一篇	c=2 d=0.957158 t=31290
yi pian hao ping 	一片好評	c=1 d=0.418952 t=31290
yi qi 	一起	c=5 d=0.678255 t=31290
yi qi qu 	一起去	c=1 d=3.61713e-08 t=31290
yi qi wan 	一起玩	c=1 d=0.62351 t=31290
yi qi wan de hua 	一起玩的話	c=1 d=0.582748 t=31290
yi qi yue ge shi jian 	一起約個時間	c=1 d=1 t=28392
yi qian 	以前	c=11 d=0.827835 t=31290
yi qian de 	以前的	c=0 d=0.000923273 t=31290
yi qian de yi jia 	以前的一家	c=1 d=0.00927901 t=31290
yi qian hai shi 	以前還是	c=1 d=0.00456197 t=31290
yi qian you ren yong guo 	以前有人用過	c=1 d=0.400517 t=31290
yi qie 	一切	c=0 d=0.0722527 t=31290
yi quan 	一圈	c=1 d=0.559898 t=31290
yi quan le 	一圈了	c=1 d=0.0248475 t=31290
yi qun 	一羣	c=2 d=0.980199 t=31290
yi ran 	依然	c=0 d=0.0147507 t=31290
yi ran chu xian 	依然出現	c=1 d=0.14808 t=31290
yi ran mei you 	依然沒有	c=1 d=0.036334 t=31290
yi ran shi 	依然是	c=1 d=0.000190664 t=31290
yi ran zai 	依然在	c=1 d=0.161218 t=31290
yi ren 	一人	c=0 d=0.0909373 t=31290
yi se 	一色	c=0 d=0.0181772 t=31290
yi shan chu 	已刪除	c=1 d=0.0898153 t=31290
yi shang 	以上	c=12 d=0.860708 t=31290
yi shang wan cheng hou 	以上完成後	c=1 d=0.386741 t=31290
yi shang wu 	一上午	c=1 d=0.0120342 t=31290
yi shen 	以身	c=0 d=0.0687289 t=31290
yi shen jiu ren 	以身救人	c=1 d=0.690734 t=31290
yi sheng 	醫生	c=0 d=0.00889216 t=31290
yi sheng jiao wo 	醫生叫我	c=1 d=0.0893673 t=31290
yi sheng lu 	以昇路	c=5 d=0.756796 t=31290
yi shi 	一是	c=2 d=0.171388 t=31290
yi shi 	一時	c=0 d=0.0101774 t=31290
yi shi 	意識	c=1 d=6.88107e-15 t=31290
yi shi ban hui 	一時半會	c=1 d=0.891366 t=31290
yi shi ji dong 	一時激動	c=1 d=4.50876e-12 t=31290
yi shi ying 	以適應	c=1 d=0.121846 t=31290
yi shou 	一手	c=0 d=0.0102797 t=31290
yi shou 	一首	c=1 d=0.0880368 t=31290
yi shou dao 	已收到	c=2 d=0.201897 t=31290
yi shou ge 	一首歌	c=0 d=0.00963276 t=31290
yi shou zhang wo 	一手掌握	c=1 d=0.103312 t=31290
yi shu 	藝術	c=1 d=0.932394 t=31290
yi shuo 	一說	c=0 d=1.36742e-06 t=31290
yi si 	意思	c=6 d=0.86191 t=31290
yi song 	已送	c=1 d=0.511709 t=31290
yi sou 	一搜	c=1 d=0.00400585 t=31290
yi tai 	一臺	c=2 d=0.0654865 t=31290
yi tai 	以太	c=0 d=0.00290133 t=31290
yi tai she bei 	一臺設備	c=1 d=0.0270518 t=31290
yi tai wang 	以太網	c=8 d=1.02517 t=31290
yi tai wang zhen jie gou 	以太網幀結構	c=1 d=0.235746 t=31290
yi tai zhen 	以太幀	c=1 d=0.0291588 t=31290
yi tao 	一套	c=1 d=0.00562801 t=31290
yi tao pei zhi 	一套配置	c=1 d=0.0217096 t=31290
yi ti gao 	以提高	c=1 d=0.00421123 t=31290
yi tian 	一天	c=5 d=1.13074 t=31290
yi tian 	倚天	c=14 d=1.55648 t=31290
yi tian tu long ji 	倚天屠龍記	c=16 d=2.34128 t=31290
yi tiao 	一條	c=3 d=1.11877 t=31290
yi tiao gao ding 	一條搞定	c=1 d=0.000102055 t=31290
yi tiao tiao 	一條條	c=0 d=0.000535353 t=31290
yi wai 	以外	c=4 d=0.351045 t=31290
yi wan 	一萬	c=1 d=0.546759 t=31290
yi wan wu qian 	一萬五千	c=1 d=0.895834 t=31290
yi wei 	以爲	c=5 d=0.700108 t=31290
yi wei 	異維	c=1 d=0.000863083 t=31290
yi wei shi 	以爲是	c=1 d=0.0572688 t=31290
yi wei zhe 	意味着	c=0 d=0.0151829 t=31290
yi wen 	一文	c=4 d=2.36035 t=31290
yi wen 	疑問	c=1 d=0.00323088 t=31290
yi wen 	譯文	c=1 d=0.0473589 t=31290
yi xia 	一下	c=12 d=0.560376 t=31290
yi xia 	以下	c=18 d=1.54086 t=31290
yi xia ji ge fang mian 	以下幾個方面	c=1 d=0.0001441 t=31290
yi xia jiu neng kan chu lai 	一下就能看出來	c=1 d=0.932394 t=31290
yi xia liang zhong 	以下兩種	c=1 d=0.336216 t=31290
yi xia zi 	一下子	c=0 d=0.00599047 t=31290
yi xia zi bu shi ying a 	一下子不適應啊	c=1 d=0.060205 t=31290
yi xian 	已現	c=0 d=0.1 t=28929
yi xian chang yan shou 	已現場驗收	c=1 d=1 t=28930
yi xiang 	一項	c=1 d=0.0590129 t=31290
yi xiang dao 	一想到	c=1 d=0.0258615 t=31290
yi xie 	一些	c=31 d=3.33321 t=31290
yi xie gai nian 	一些概念	c=1 d=1 t=28506
yi yang 	一樣	c=8 d=0.743669 t=31290
yi yang le 	一樣了	c=1 d=0.436049 t=31290
yi ye 	一夜	c=1 d=0.079659 t=31290
yi yi 	意義	c=4 d=0.0453845 t=31290
yi yi zai yu 	意義在於	c=1 d=0.45612 t=31290
yi yong hu 	以用戶	c=1 d=2.49933e-12 t=31290
yi you 	已有	c=1 d=0.878095 t=31290
yi you de 	已有的	c=1 d=0.000750328 t=31290
yi yu 	易於	c=1 d=0.00634556 t=31290
yi yuan 	一元	c=0 d=0.0677057 t=31290
yi yuan 	一圓	c=1 d=0.10435 t=31290
yi yuan 	醫院	c=2 d=0.157147 t=31290
yi yuan ji chang 	一元機場	c=1 d=0.680451 t=31290
yi yun 	依雲	c=1 d=0.331211 t=31290
yi zha 	一炸	c=1 d=0.0558549 t=31290
yi zhang 	一張	c=1 d=0.00678809 t=31290
yi zhang tu 	一張圖	c=0 d=0.0116484 t=31290
yi zhao 	依照	c=1 d=0.000287295 t=31290
yi zhe 	一者	c=1 d=0.364219 t=31290
yi zhe zhong 	以這種	c=1 d=1.14275e-11 t=31290
yi zhi 	一直	c=21 d=1.12217 t=31290
yi zhi 	一致	c=1 d=0.0281559 t=31290
yi zhi 	已知	c=6 d=0.88692 t=31290
yi zhi 	抑制	c=2 d=0.000379148 t=31290
yi zhi 	移植	c=1 d=1.18918e-09 t=31290
yi zhi de 	一直的	c=1 d=0.0229371 t=31290
yi zhi dou 	一直都	c=0 d=0.026982 t=31290
yi zhi dou hen gao 	一直都很高	c=1 d=5.81937e-14 t=31290
yi zhi dou hui ya 	一直都會呀	c=1 d=0.271173 t=31290
yi zhi dou shi 	一直都是	c=1 d=0.647265 t=31290
yi zhi dou shi zhe yang a 	一直都是這樣啊	c=1 d=0.111359 t=31290
yi zhi gua dai li 	一直掛代理	c=1 d=0.116484 t=31290
yi zhi le 	已知了	c=1 d=0.0372538 t=31290
yi zhi tiao jian 	已知條件	c=1 d=0.0724965 t=31290
yi zhi yong 	一直用	c=2 d=0.612626 t=31290
yi zhi yong de di san fang 	一直用的第三方	c=1 d=0.000497955 t=31290
yi zhi zai 	一直在	c=1 d=0.377192 t=31290
yi zhi zai yong 	一直在用	c=1 d=0.00289433 t=31290
yi zhi zhe xie gan rao 	抑制這些干擾	c=1 d=0.00381048 t=31290
yi zhong 	一種	c=7 d=0.13633 t=31290
yi zhong ce lve 	一種策略	c=1 d=8.1086e-05 t=31290
yi zhong gai jin 	一種改進	c=1 d=0.000308127 t=31290
yi zhong ji shu 	一種技術	c=1 d=0.0432828 t=31290
yi zhou 	一週	c=0 d=0.0453845 t=31290
yi zhou nian 	一週年	c=2 d=8.05363e-05 t=31290
yi zi yi ju 	一字一句	c=1 d=0.00337959 t=31290
yi zu 	一組	c=2 d=0.0315791 t=31290
yin 	因	c=1 d=0.111917 t=31290
yin 	銀	c=1 d=7.67467e-05 t=31290
yin 	音	c=0 d=0.0615697 t=31290
yin ci 	因此	c=19 d=0.246126 t=31290
yin dao 	引導	c=2 d=1.03102 t=31290
yin du 	印度	c=19 d=1.81014 t=31290
yin du qu 	印度區	c=3 d=0.60664 t=31290
yin er 	因而	c=1 d=4.43092e-13 t=31290
yin gun 	淫棍	c=0 d=0.0484325 t=31290
yin hang 	銀行	c=1 d=1.60578e-13 t=31290
yin hao 	引號	c=2 d=0.162009 t=31290
yin jin 	引進	c=1 d=7.73311e-06 t=31290
yin li 	殷離	c=1 d=5.01747e-05 t=31290
yin pin 	音頻	c=1 d=0.017163 t=31290
yin qi 	引起	c=3 d=0.239642 t=31290
yin qing 	引擎	c=1 d=0.208111 t=31290
yin ru 	引入	c=1 d=0.0285076 t=31290
yin ru dao zi ji 	引入到自己	c=1 d=0.00406639 t=31290
yin ru de 	引入的	c=1 d=0.286505 t=31290
yin ru le 	引入了	c=3 d=0.597501 t=31290
yin shen 	隱身	c=0 d=0.019398 t=31290
yin shen mo shi 	隱身模式	c=1 d=0.194952 t=31290
yin si 	隱私	c=1 d=0.105399 t=31290
yin wei 	因爲	c=33 d=0.724817 t=31290
yin wei ni 	因爲你	c=1 d=0.000239969 t=31290
yin wei shi 	因爲是	c=1 d=0.156453 t=31290
yin xiang 	印象	c=5 d=0.13782 t=31290
yin xiang zhong 	印象中	c=0 d=0.00128424 t=31290
yin xiao 	音效	c=1 d=2.13566e-15 t=31290
yin xing 	音形	c=2 d=1.95064 t=31290
yin yan 	引言	c=1 d=0.00172937 t=31290
yin yong 	引用	c=3 d=0.236923 t=31290
yin yong shu ju lei xing 	引用數據類型	c=1 d=0.131994 t=31290
yin yue 	音樂	c=4 d=2.72218 t=31290
yin zhi 	音質	c=1 d=6.94906e-13 t=31290
yin zi 	因子	c=1 d=0.000232146 t=31290
ying 	應	c=2 d=0.0746459 t=31290
ying 	硬	c=0 d=0.00608101 t=31290
ying 	贏	c=1 d=0.0202283 t=31290
ying cai yong 	應採用	c=1 d=0.0327124 t=31290
ying da 	應答	c=0 d=0.00605068 t=31290
ying gai 	應該	c=26 d=1.05099 t=31290
ying gai bu yong le 	應該不用了	c=1 d=0.451581 t=31290
ying gai de 	應該的	c=2 d=1.06989 t=31290
ying gai dou you 	應該都有	c=1 d=7.30037e-05 t=31290
ying gai dou you jiao cheng de 	應該都有教程的	c=1 d=0.341298 t=31290
ying gai jiu 	應該就	c=1 d=0.396531 t=31290
ying gai ke yi 	應該可以	c=2 d=0.159157 t=31290
ying gai ke yi le 	應該可以了	c=1 d=0.214381 t=31290
ying gai ke yi mai le 	應該可以買了	c=1 d=0.0306538 t=31290
ying gai ke yi shua 	應該可以刷	c=1 d=0.852144 t=31290
ying gai mei shi 	應該沒事	c=1 d=0.299692 t=31290
ying gai shi 	應該是	c=10 d=1.22376 t=31290
ying gai shuo 	應該說	c=0 d=0.066034 t=31290
ying gai wang le 	應該忘了	c=1 d=0.548812 t=31290
ying gai ye 	應該也	c=0 d=0.000410726 t=31290
ying gai ye bu duo 	應該也不多	c=1 d=1 t=29303
ying gai ye neng yong 	應該也能用	c=1 d=0.00412784 t=31290
ying gai ye yong bu dao 	應該也用不到	c=1 d=8.19706e-15 t=31290
ying gai ye you 	應該也有	c=1 d=0.59452 t=31290
ying gai you 	應該有	c=3 d=0.23115 t=31290
ying gai you ren 	應該有人	c=1 d=2.09944e-49 t=31290
ying hua 	櫻花	c=3 d=0.479581 t=31290
ying hua kai le 	櫻花開了	c=1 d=0.380983 t=31290
ying huo 	螢火	c=0 d=0.0740818 t=31290
ying jian 	硬件	c=6 d=0.771129 t=31290
ying jian di zhi 	硬件地址	c=2 d=0.000178085 t=31290
ying jian jia su 	硬件加速	c=0 d=0.00401553 t=31290
ying jian le 	硬件了	c=1 d=0.0658748 t=31290
ying jian she ji 	硬件設計	c=1 d=1 t=28572
ying jian wen ti 	硬件問題	c=1 d=1 t=28585
ying jian zhu ji lu you biao 	硬件主機路由表	c=1 d=0.000227127 t=31290
ying jie sheng 	應屆生	c=1 d=0.0617291 t=31290
ying jin liang 	應儘量	c=1 d=0.631284 t=31290
ying le 	贏了	c=1 d=0.018043 t=31290
ying lu you 	硬路由	c=1 d=0.0611149 t=31290
ying mi 	影迷	c=0 d=0.0451581 t=31290
ying mi da yuan 	影迷大院	c=3 d=1.36837 t=31290
ying pan 	硬盤	c=1 d=0.418952 t=31290
ying qu 	英區	c=1 d=0.254107 t=31290
ying she 	映射	c=2 d=0.744532 t=31290
ying she cheng 	映射成	c=1 d=0.000483239 t=31290
ying shi 	影視	c=5 d=1.74908 t=31290
ying shi lei 	影視類	c=2 d=0.580871 t=31290
ying wen 	英文	c=10 d=4.02975 t=31290
ying wen ming 	英文名	c=1 d=0.327915 t=31290
ying wen ne 	英文呢	c=1 d=0.0575558 t=31290
ying wen wen xian fan yi 	英文文獻翻譯	c=2 d=0.650509 t=31290
ying xiang 	影響	c=18 d=0.483466 t=31290
ying xiang ti yan 	影響體驗	c=1 d=0.571209 t=31290
ying xiao 	營銷	c=0 d=0.00439368 t=31290
ying xiao wang 	營銷王	c=1 d=0.0441572 t=31290
ying yong 	應用	c=22 d=1.06815 t=31290
ying yong bang ding 	應用綁定	c=1 d=0.228779 t=31290
ying yong ceng 	應用層	c=6 d=0.322914 t=31290
ying yong cheng xu 	應用程序	c=4 d=0.323268 t=31290
ying yong guan li 	應用管理	c=2 d=0.0405915 t=31290
ying yong guan li zhong 	應用管理中	c=1 d=0.0930147 t=31290
ying yong shu ju 	應用數據	c=1 d=4.78756e-12 t=31290
ying yu 	英語	c=5 d=2.25088 t=31290
ying yu ting li 	英語聽力	c=1 d=0.40657 t=31290
yong 	永	c=1 d=1 t=28667
yong 	用	c=84 d=4.58376 t=31290
yong ba 	用吧	c=1 d=0.141139 t=31290
yong bian ji qi 	用編輯器	c=1 d=0.740818 t=31290
yong bie de 	用別的	c=1 d=0.165299 t=31290
yong bu 	用不	c=0 d=0.0985112 t=31290
yong bu dao 	用不到	c=0 d=8.15617e-16 t=31290
yong bu liao 	用不了	c=7 d=2.00204 t=31290
yong bu qi 	用不起	c=2 d=1.99005 t=31290
yong cha jian 	用插件	c=1 d=0.00960953 t=31290
yong dao 	用到	c=1 d=0.0318224 t=31290
yong dao le ne 	用到了呢	c=1 d=0.532592 t=31290
yong de 	用得	c=1 d=0.170196 t=31290
yong de 	用的	c=25 d=1.88394 t=31290
yong de bi yao 	用的必要	c=1 d=8.68147e-14 t=31290
yong de duo 	用的多	c=1 d=3.48311e-05 t=31290
yong de fen liu 	用的分流	c=1 d=0.00557201 t=31290
yong de liu liang 	用的流量	c=1 d=0.106992 t=31290
yong de na ge jie dian 	用的哪個節點	c=1 d=0.0746459 t=31290
yong de ruan jian 	用的軟件	c=1 d=0.000143382 t=31290
yong de sha 	用的啥	c=4 d=0.256661 t=31290
yong de shen me 	用的什麼	c=1 d=0.0289549 t=31290
yong de shen me ke hu duan 	用的什麼客戶端	c=1 d=0.00433948 t=31290
yong de shen me ruan jian 	用的什麼軟件	c=3 d=1.47421 t=31290
yong de shi 	用的是	c=4 d=1.16972 t=31290
yong de tai kuai le 	用得太快了	c=1 d=0.071719 t=31290
yong de tai shao 	用的太少	c=1 d=0.694197 t=31290
yong de zhu ti 	用的主題	c=1 d=0.367879 t=31290
yong dui le 	用對了	c=1 d=0.0776922 t=31290
yong fa 	用法	c=1 d=1 t=28976
yong fu dai 	用附帶	c=1 d=0.147342 t=31290
yong guo 	用過	c=1 d=0.185582 t=31290
yong guo ma 	用過嗎	c=1 d=0.551563 t=31290
yong hai shi ke yi 	用還是可以	c=1 d=1 t=28785
yong hu 	用戶	c=52 d=1.94613 t=31290
yong hu ci dian 	用戶詞典	c=2 d=0.995012 t=31290
yong hu jian 	用戶間	c=1 d=0.786628 t=31290
yong hu ming 	用戶名	c=3 d=0.519442 t=31290
yong hu shu 	用戶數	c=3 d=1.4687e-07 t=31290
yong hu zhong xin 	用戶中心	c=2 d=0.715745 t=31290
yong hu zi liao 	用戶資料	c=1 d=0.50409 t=31290
yong ji chang 	用機場	c=2 d=0.923946 t=31290
yong jiao ben 	用腳本	c=1 d=5.80039e-05 t=31290
yong jiu 	永久	c=1 d=0.0351614 t=31290
yong jiu hui yuan 	永久會員	c=1 d=0.0262524 t=31290
yong ju 	用具	c=0 d=0.00234005 t=31290
yong lai 	用來	c=16 d=1.11464 t=31290
yong le 	用了	c=11 d=0.99665 t=31290
yong le ba 	用了吧	c=1 d=1.88311e-05 t=31290
yong le ji ge xiao shi 	用了幾個小時	c=1 d=0.486752 t=31290
yong le zhe me duo le 	用了這麼多了	c=1 d=1 t=29521
yong lia 	用倆	c=1 d=8.1365e-16 t=31290
yong liang 	用量	c=2 d=0.93644 t=31290
yong na ge 	用哪個	c=0 d=0.1 t=29737
yong na ge qu 	用哪個區	c=1 d=1 t=29738
yong na me 	用那麼	c=1 d=0.0182243 t=31290
yong qi lai 	用起來	c=2 d=0.715338 t=31290
yong quan 	用圈	c=1 d=4.06708e-05 t=31290
yong sai 	擁塞	c=1 d=0.0422141 t=31290
yong sai kong zhi 	擁塞控制	c=1 d=0.235746 t=31290
yong sha 	用啥	c=1 d=1 t=28674
yong shen me 	用什麼	c=0 d=3.59786e-05 t=31290
yong shen me da kai 	用什麼打開	c=1 d=0.00036159 t=31290
yong ta 	用他	c=1 d=1 t=28934
yong ta 	用它	c=0 d=0.000887071 t=31290
yong ta men bei 	用它們唄	c=1 d=0.00891518 t=31290
yong tu 	用途	c=0 d=2.79526e-06 t=31290
yong wan 	用完	c=1 d=0.914096 t=31290
yong wan ke yi 	用完可以	c=1 d=0.0265162 t=31290
yong wei xin 	用微信	c=1 d=0.0152985 t=31290
yong wo 	用我	c=1 d=0.0916297 t=31290
yong wo de 	用我的	c=2 d=0.748264 t=31290
yong wo de yao qing ma 	用我的邀請碼	c=1 d=0.806541 t=31290
yong xia 	用下	c=2 d=0.878095 t=31290
yong yi ge 	用一個	c=1 d=3.09187e-15 t=31290
yong yi nian 	用一年	c=1 d=4.23306e-05 t=31290
yong yi tai 	用一臺	c=1 d=0.0267827 t=31290
yong yong 	用用	c=4 d=0.884485 t=31290
yong yong zai chong ba 	用用再充吧	c=1 d=0.00259284 t=31290
yong you 	擁有	c=1 d=6.5727e-05 t=31290
yong yu 	勇於	c=1 d=0.000662162 t=31290
yong yu 	用於	c=12 d=2.1422 t=31290
yong zhe 	用着	c=6 d=0.574486 t=31290
yong zhe ge 	用這個	c=4 d=0.196082 t=31290
yong zhe xie 	用這些	c=2 d=0.554327 t=31290
yong zhe yi tiao 	用這一條	c=1 d=0.209088 t=31290
yong zhe zhen shuang 	用着真爽	c=1 d=0.00168667 t=31290
yong zi dai dai li 	用自帶代理	c=1 d=1 t=28712
yong zi ji 	用自己	c=1 d=0.10146 t=31290
yong zi ji de 	用自己的	c=1 d=9.84577e-24 t=31290
you 	又	c=7 d=0.945437 t=31290
you 	友	c=1 d=0.208045 t=31290
you 	有	c=65 d=2.88673 t=31290
you 	由	c=29 d=0.95828 t=31290
you 	郵	c=0 d=0.0256661 t=31290
you 	酉	c=0 d=6.39387e-05 t=31290
you a 	有啊	c=2 d=0.341298 t=31290
you ao ye le 	又熬夜了	c=1 d=0.737123 t=31290
you ban fa 	有辦法	c=2 d=1.99005 t=29030
you ban ge xiao shi 	有半個小時	c=1 d=1 t=28917
you bang zhu 	有幫助	c=1 d=0.88692 t=31290
you bi yao 	有必要	c=1 d=0.491644 t=31290
you bian hua 	有變化	c=1 d=0.0335156 t=31290
you bu 	又不	c=2 d=0.316678 t=31290
you bu da fang bian 	又不大方便	c=1 d=6.41588e-15 t=31290
you bu hui 	又不會	c=1 d=0.0017643 t=31290
you bu nan 	又不難	c=1 d=0.634448 t=31290
you bu neng 	又不能	c=0 d=0.0514273 t=31290
you bu neng mai le 	又不能買了	c=1 d=0.26982 t=31290
you bu shao 	有不少	c=1 d=0.00037164 t=31290
you bu shao di fang 	有不少地方	c=1 d=1 t=30172
you bu shi 	又不是	c=2 d=0.804997 t=31290
you bu shi bu neng yong 	又不是不能用	c=1 d=0.00324708 t=31290
you bu shi wo 	又不是我	c=1 d=0.000164106 t=31290
you bu tai 	又不太	c=0 d=6.10299e-16 t=31290
you bu tai an quan 	又不太安全	c=1 d=6.13356e-15 t=31290
you bu tong 	有不同	c=1 d=0.00406639 t=31290
you bu tong de 	有不同的	c=1 d=3.58919e-05 t=31290
you bu xing 	又不行	c=1 d=0.117068 t=31290
you bu zhun shi le 	又不準時了	c=1 d=0.00327971 t=31290
you bu zun shou 	又不遵守	c=1 d=0.814647 t=31290
you ce 	右側	c=2 d=0.535261 t=31290
you ce lve zu de 	有策略組的	c=1 d=0.000401622 t=31290
you chi 	又吃	c=1 d=0.67032 t=31290
you chong 	又重	c=0 d=0.0923116 t=31290
you chong ju le 	又重聚了	c=1 d=0.927743 t=31290
you chong xin 	又重新	c=1 d=0.210136 t=31290
you chu xian 	又出現	c=1 d=0.579842 t=31290
you ci 	由此	c=4 d=0.0183327 t=31290
you ci ke jian 	由此可見	c=1 d=0.168638 t=31290
you ci wo men ke yi xiang dao 	由此我們可以想到	c=1 d=0.0728029 t=31290
you cuo bie zi 	有錯別字	c=1 d=0.0492917 t=31290
you cuo wu 	有錯誤	c=1 d=0.209088 t=31290
you da 	又打	c=0 d=0.0267136 t=31290
you dai 	有待	c=0 d=0.0937067 t=31290
you dai jia qiang 	有待加強	c=1 d=0.941765 t=31290
you dao li 	有道理	c=1 d=2.82335e-05 t=31290
you dao ru le 	又導入了	c=1 d=0.000296045 t=31290
you de 	有的	c=1 d=0.000731802 t=31290
you de dao 	又得到	c=1 d=0.000173384 t=31290
you de hua 	有的話	c=2 d=0.71686 t=31290
you de yi pin 	有得一拼	c=1 d=0.551563 t=31290
you dian 	優點	c=5 d=0.204426 t=31290
you dian 	有點	c=12 d=1.88805 t=31290
you dian 	郵電	c=2 d=0.337547 t=31290
you dian da 	有點大	c=1 d=0.166127 t=31290
you dian dan xin 	有點擔心	c=2 d=0.0450556 t=31290
you dian di 	有點低	c=1 d=1.17208e-15 t=31290
you dian duo 	有點多	c=1 d=0.0149569 t=31290
you dian e de huang 	有點餓得慌	c=1 d=0.00318278 t=31290
you dian e le 	有點餓了	c=1 d=0.000982903 t=31290
you dian gui 	有點貴	c=1 d=0.162026 t=31290
you dian ma fan 	有點麻煩	c=0 d=0.0697677 t=31290
you dian qi guai 	有點奇怪	c=1 d=1 t=28452
you dian shi 	優點是	c=1 d=0.410656 t=31290
you dian shi 	有點事	c=1 d=0.774916 t=31290
you dian wan 	有點晚	c=1 d=0.292293 t=31290
you dian wen ti 	有點問題	c=3 d=0.670387 t=31290
you dian xin ku 	有點辛苦	c=1 d=6.15907e-05 t=31290
you ding dan hao 	有訂單號	c=1 d=2.36027e-15 t=31290
you du 	有毒	c=4 d=0.197641 t=31290
you duo shao 	有多少	c=0 d=0.0413469 t=31290
you duo shao shi ni de 	有多少是你的	c=1 d=0.00412784 t=31290
you er chu 	右耳出	c=1 d=0.771052 t=31290
you fei 	郵費	c=0 d=0.0275271 t=31290
you gan 	有感	c=0 d=0.0138069 t=31290
you ge 	有個	c=4 d=0.516851 t=31290
you ge di dian 	有個地點	c=1 d=0.19205 t=31290
you geng xin 	有更新	c=1 d=0.0593087 t=31290
you geng xin le 	又更新了	c=1 d=0.000237581 t=31290
you gong xiang 	有共享	c=1 d=0.313486 t=31290
you guan 	有關	c=4 d=0.442639 t=31290
you guan 	油管	c=4 d=0.988432 t=31290
you guan de 	有關的	c=0 d=0.023457 t=31290
you guan de dong xi 	有關的東西	c=1 d=0.235746 t=31290
you guan xi 	有關係	c=1 d=0.0731678 t=31290
you guan zhi wai 	有關之外	c=1 d=0.0769192 t=31290
you gui 	有鬼	c=0 d=0.0634473 t=31290
you gui le 	有鬼了	c=1 d=0.637628 t=31290
you guo 	有過	c=1 d=0.124307 t=31290
you hao 	友好	c=0 d=8.12821e-05 t=31290
you hao xie 	有好些	c=1 d=1 t=30159
you he de ma 	有喝的嗎	c=1 d=0.136695 t=31290
you hen duo 	又很多	c=1 d=0.000197455 t=31290
you hua 	優化	c=5 d=0.162311 t=31290
you huai le 	又壞了	c=1 d=1.59467e-49 t=31290
you huan 	又換	c=1 d=0.00577048 t=31290
you hui 	優惠	c=6 d=0.517047 t=31290
you hui dao 	又回到	c=1 d=0.29523 t=31290
you hui dao le 	又回到了	c=1 d=0.183599 t=31290
you hui ma 	優惠碼	c=13 d=1.35994 t=31290
you hui quan 	優惠券	c=1 d=1.42076e-14 t=31290
you ji 	郵寄	c=1 d=0.00108628 t=31290
you ji ge 	有幾個	c=1 d=0.485541 t=31290
you ji ge ren a 	有幾個人啊	c=1 d=0.245367 t=31290
